,name,acp_type,election_year,dem_votes,oth_votes,rep_votes
383,NORTHUMBERLAND,Rural Middle America,2004,14602,270,22262
384,PERRY,Rural Middle America,2004,5423,85,13919
385,PHILADELPHIA,Big Cities,2004,542205,1765,130099
386,PIKE,Exurbs,2004,8656,199,12444
387,POTTER,Graying America,2004,2268,54,5640
388,SCHUYLKILL,Rural Middle America,2004,29231,398,35640
389,SNYDER,Rural Middle America,2004,4348,69,10566
390,SOMERSET,Rural Middle America,2004,12842,134,23802
391,SULLIVAN,Graying America,2004,1213,16,2056
392,SUSQUEHANNA,Rural Middle America,2004,7351,116,11573
393,TIOGA,Rural Middle America,2004,5437,115,12019
394,UNION,Rural Middle America,2004,5700,89,10334
395,VENANGO,Rural Middle America,2004,9024,163,14472
396,WARREN,Working Class Country,2004,8044,230,10999
397,WASHINGTON,Middle Suburbs,2004,48225,279,47673
398,WAYNE,Working Class Country,2004,8060,194,13713
399,WESTMORELAND,Middle Suburbs,2004,77774,835,100087
400,WYOMING,Rural Middle America,2004,4982,68,7782
401,YORK,Middle Suburbs,2004,63701,1298,114270
